,From,To,edge
50,Harry M. Reid,Mitch Mcconnell,1
205,Jeanne Shaheen,Ron Wyden,1
207,Jeanne Shaheen,Jon Tester,1
208,Jeanne Shaheen,Thomas Richard Harkin,1
213,Jeanne Shaheen,Patrick Joseph Leahy,1
215,Jeanne Shaheen,Dianne Feinstein,1
216,Jeanne Shaheen,Frank R. Lautenberg,1
218,Jeanne Shaheen,Bernard Sanders,1
219,Jeanne Shaheen,John Forbes Kerry,1
223,Jeanne Shaheen,Richard J. Durbin,1
227,Jeanne Shaheen,Mark Udall,1
229,Jeanne Shaheen,Olympia J. Snowe,1
230,Jeanne Shaheen,Benjamin L. Cardin,1
233,Jeanne Shaheen,Joseph I. Lieberman,1
236,Jeanne Shaheen,Mary Landrieu,1
237,Jeanne Shaheen,Robert Menendez,1
240,Jeanne Shaheen,Deborah Ann Stabenow,1
241,Jeanne Shaheen,Kirsten E. Gillibrand,1
244,Jeanne Shaheen,Richard Blumenthal,1
246,Jeanne Shaheen,John F. Reed,1
248,Jeanne Shaheen,Sherrod Brown,1
249,Jeanne Shaheen,Maria Cantwell,1
250,Jeanne Shaheen,Patty Murray,1
255,Jeanne Shaheen,Barbara Boxer,1
258,Jeanne Shaheen,Susan Margaret Collins,1
260,Jeanne Shaheen,Christopher A. Coons,1
261,Jeanne Shaheen,Tom Udall,1
267,Jeanne Shaheen,Sheldon Whitehouse,1
269,Jeanne Shaheen,Amy Klobuchar,1
270,Jeanne Shaheen,Daniel Kohikina Akaka,1
272,Jeanne Shaheen,Mark Begich,1
273,Jeanne Shaheen,Michael F. Bennet,1
275,Jeanne Shaheen,Tim Johnson,1
281,Jeanne Shaheen,Mark R. Warner,1
282,Jeanne Shaheen,Al Franken,1
284,Jeanne Shaheen,Barbara Ann Mikulski,1
290,Jeanne Shaheen,Jeff Merkley,1
291,Jeanne Shaheen,Clarence William Nelson,1
296,Jeanne Shaheen,Claire Mccaskill,1
305,Ron Wyden,Jeanne Shaheen,1
309,Ron Wyden,Thomas Richard Harkin,1
317,Ron Wyden,Frank R. Lautenberg,1
324,Ron Wyden,Richard J. Durbin,1
328,Ron Wyden,Mark Udall,1
331,Ron Wyden,Benjamin L. Cardin,1
342,Ron Wyden,Kirsten E. Gillibrand,1
345,Ron Wyden,Richard Blumenthal,1
347,Ron Wyden,John F. Reed,1
350,Ron Wyden,Maria Cantwell,1
351,Ron Wyden,Patty Murray,1
356,Ron Wyden,Barbara Boxer,1
368,Ron Wyden,Sheldon Whitehouse,1
371,Ron Wyden,Daniel Kohikina Akaka,1
373,Ron Wyden,Mark Begich,1
374,Ron Wyden,Michael F. Bennet,1
383,Ron Wyden,Al Franken,1
391,Ron Wyden,Jeff Merkley,1
415,Charles E. Schumer,Patrick Joseph Leahy,1
418,Charles E. Schumer,Frank R. Lautenberg,1
425,Charles E. Schumer,Richard J. Durbin,1
442,Charles E. Schumer,Deborah Ann Stabenow,1
443,Charles E. Schumer,Kirsten E. Gillibrand,1
446,Charles E. Schumer,Richard Blumenthal,1
448,Charles E. Schumer,John F. Reed,1
469,Charles E. Schumer,Sheldon Whitehouse,1
484,Charles E. Schumer,Al Franken,1
507,Jon Tester,Jeanne Shaheen,1
517,Jon Tester,Max Sieben Baucus,1
564,Jon Tester,Tom Udall,1
569,Jon Tester,Kent Conrad,1
572,Jon Tester,Amy Klobuchar,1
575,Jon Tester,Mark Begich,1
576,Jon Tester,Michael F. Bennet,1
578,Jon Tester,Tim Johnson,1
599,Jon Tester,Claire Mccaskill,1
608,Thomas Richard Harkin,Jeanne Shaheen,1
609,Thomas Richard Harkin,Ron Wyden,1
617,Thomas Richard Harkin,Patrick Joseph Leahy,1
620,Thomas Richard Harkin,Frank R. Lautenberg,1
622,Thomas Richard Harkin,Bernard Sanders,1
627,Thomas Richard Harkin,Richard J. Durbin,1
634,Thomas Richard Harkin,Benjamin L. Cardin,1
645,Thomas Richard Harkin,Kirsten E. Gillibrand,1
648,Thomas Richard Harkin,Richard Blumenthal,1
650,Thomas Richard Harkin,John F. Reed,1
652,Thomas Richard Harkin,Sherrod Brown,1
659,Thomas Richard Harkin,Barbara Boxer,1
671,Thomas Richard Harkin,Sheldon Whitehouse,1
673,Thomas Richard Harkin,Amy Klobuchar,1
679,Thomas Richard Harkin,Tim Johnson,1
686,Thomas Richard Harkin,Al Franken,1
688,Thomas Richard Harkin,Barbara Ann Mikulski,1
694,Thomas Richard Harkin,Jeff Merkley,1
715,John Boozman,Marco Rubio,1
716,John Boozman,Jim Inhofe,1
725,John Boozman,John Sidney Mccain,1
727,John Boozman,Tom Coburn,1
729,John Boozman,Michael B. Enzi,1
730,John Boozman,John Barrasso,1
731,John Boozman,John Cornyn,1
733,John Boozman,David Vitter,1
736,John Boozman,Kay Bailey Hutchison,1
737,John Boozman,Mike Johanns,1
739,John Boozman,Lindsey O. Graham,1
740,John Boozman,Lisa Murkowski,1
743,John Boozman,Jon Llewellyn Kyl,1
744,John Boozman,Rand Paul,1
747,John Boozman,Mark Lunsford Pryor,1
748,John Boozman,John R. Thune,1
750,John Boozman,Rob Portman,1
752,John Boozman,Michael D. Crapo,1
756,John Boozman,Jerry Moran,1
757,John Boozman,Mitch Mcconnell,1
758,John Boozman,Lamar Alexander,1
759,John Boozman,Roger F. Wicker,1
761,John Boozman,Orrin Grant Hatch,1
762,John Boozman,Roy Blunt,1
767,John Boozman,Richard Burr,1
769,John Boozman,John Hoeven,1
776,John Boozman,James W. Demint,1
779,John Boozman,Charles Ernest Grassley,1
781,John Boozman,E. Benjamin Nelson,1
782,John Boozman,Jeff Sessions,1
783,John Boozman,Daniel Ray Coats,1
784,John Boozman,Richard Craig Shelby,1
785,John Boozman,Bob Corker,1
788,John Boozman,Kelly Ayotte,1
791,John Boozman,Mark Steven Kirk,1
792,John Boozman,Johnny Isakson,1
793,John Boozman,Pat Roberts,1
794,John Boozman,Pat Toomey,1
797,John Boozman,Saxby Chambliss,1
800,John Boozman,Richard Green Lugar,1
802,John Boozman,Mike Lee,1
803,John Boozman,Ron Johnson,1
804,John Boozman,Dean Heller,1
805,John Boozman,Joe Manchin,1
806,John Boozman,Thad Cochran,1
807,John Boozman,James E. Risch,1
815,Marco Rubio,John Boozman,1
817,Marco Rubio,Jim Inhofe,1
826,Marco Rubio,John Sidney Mccain,1
828,Marco Rubio,Tom Coburn,1
830,Marco Rubio,Michael B. Enzi,1
831,Marco Rubio,John Barrasso,1
832,Marco Rubio,John Cornyn,1
834,Marco Rubio,David Vitter,1
837,Marco Rubio,Kay Bailey Hutchison,1
838,Marco Rubio,Mike Johanns,1
840,Marco Rubio,Lindsey O. Graham,1
844,Marco Rubio,Jon Llewellyn Kyl,1
845,Marco Rubio,Rand Paul,1
849,Marco Rubio,John R. Thune,1
851,Marco Rubio,Rob Portman,1
853,Marco Rubio,Michael D. Crapo,1
857,Marco Rubio,Jerry Moran,1
858,Marco Rubio,Mitch Mcconnell,1
859,Marco Rubio,Lamar Alexander,1
860,Marco Rubio,Roger F. Wicker,1
862,Marco Rubio,Orrin Grant Hatch,1
863,Marco Rubio,Roy Blunt,1
868,Marco Rubio,Richard Burr,1
870,Marco Rubio,John Hoeven,1
877,Marco Rubio,James W. Demint,1
880,Marco Rubio,Charles Ernest Grassley,1
883,Marco Rubio,Jeff Sessions,1
884,Marco Rubio,Daniel Ray Coats,1
885,Marco Rubio,Richard Craig Shelby,1
886,Marco Rubio,Bob Corker,1
889,Marco Rubio,Kelly Ayotte,1
892,Marco Rubio,Mark Steven Kirk,1
893,Marco Rubio,Johnny Isakson,1
894,Marco Rubio,Pat Roberts,1
895,Marco Rubio,Pat Toomey,1
897,Marco Rubio,Clarence William Nelson,1
898,Marco Rubio,Saxby Chambliss,1
901,Marco Rubio,Richard Green Lugar,1
903,Marco Rubio,Mike Lee,1
904,Marco Rubio,Ron Johnson,1
905,Marco Rubio,Dean Heller,1
907,Marco Rubio,Thad Cochran,1
908,Marco Rubio,James E. Risch,1
916,Jim Inhofe,John Boozman,1
917,Jim Inhofe,Marco Rubio,1
927,Jim Inhofe,John Sidney Mccain,1
929,Jim Inhofe,Tom Coburn,1
931,Jim Inhofe,Michael B. Enzi,1
932,Jim Inhofe,John Barrasso,1
933,Jim Inhofe,John Cornyn,1
935,Jim Inhofe,David Vitter,1
938,Jim Inhofe,Kay Bailey Hutchison,1
939,Jim Inhofe,Mike Johanns,1
941,Jim Inhofe,Lindsey O. Graham,1
945,Jim Inhofe,Jon Llewellyn Kyl,1
946,Jim Inhofe,Rand Paul,1
950,Jim Inhofe,John R. Thune,1
952,Jim Inhofe,Rob Portman,1
954,Jim Inhofe,Michael D. Crapo,1
958,Jim Inhofe,Jerry Moran,1
959,Jim Inhofe,Mitch Mcconnell,1
960,Jim Inhofe,Lamar Alexander,1
961,Jim Inhofe,Roger F. Wicker,1
963,Jim Inhofe,Orrin Grant Hatch,1
964,Jim Inhofe,Roy Blunt,1
969,Jim Inhofe,Richard Burr,1
971,Jim Inhofe,John Hoeven,1
978,Jim Inhofe,James W. Demint,1
981,Jim Inhofe,Charles Ernest Grassley,1
984,Jim Inhofe,Jeff Sessions,1
985,Jim Inhofe,Daniel Ray Coats,1
986,Jim Inhofe,Richard Craig Shelby,1
987,Jim Inhofe,Bob Corker,1
990,Jim Inhofe,Kelly Ayotte,1
993,Jim Inhofe,Mark Steven Kirk,1
994,Jim Inhofe,Johnny Isakson,1
995,Jim Inhofe,Pat Roberts,1
996,Jim Inhofe,Pat Toomey,1
999,Jim Inhofe,Saxby Chambliss,1
1002,Jim Inhofe,Richard Green Lugar,1
1004,Jim Inhofe,Mike Lee,1
1005,Jim Inhofe,Ron Johnson,1
1006,Jim Inhofe,Dean Heller,1
1008,Jim Inhofe,Thad Cochran,1
1009,Jim Inhofe,James E. Risch,1
1041,Thomas R. Carper,Joseph I. Lieberman,1
1068,Thomas R. Carper,Christopher A. Coons,1
1089,Thomas R. Carper,Mark R. Warner,1
1113,Patrick Joseph Leahy,Jeanne Shaheen,1
1115,Patrick Joseph Leahy,Charles E. Schumer,1
1117,Patrick Joseph Leahy,Thomas Richard Harkin,1
1125,Patrick Joseph Leahy,Frank R. Lautenberg,1
1127,Patrick Joseph Leahy,Bernard Sanders,1
1128,Patrick Joseph Leahy,John Forbes Kerry,1
1130,Patrick Joseph Leahy,Herbert H. Kohl,1
1132,Patrick Joseph Leahy,Richard J. Durbin,1
1150,Patrick Joseph Leahy,Kirsten E. Gillibrand,1
1153,Patrick Joseph Leahy,Richard Blumenthal,1
1155,Patrick Joseph Leahy,John F. Reed,1
1164,Patrick Joseph Leahy,Barbara Boxer,1
1169,Patrick Joseph Leahy,Christopher A. Coons,1
1176,Patrick Joseph Leahy,Sheldon Whitehouse,1
1178,Patrick Joseph Leahy,Amy Klobuchar,1
1179,Patrick Joseph Leahy,Daniel Kohikina Akaka,1
1191,Patrick Joseph Leahy,Al Franken,1
1193,Patrick Joseph Leahy,Barbara Ann Mikulski,1
1199,Patrick Joseph Leahy,Jeff Merkley,1
1217,Max Sieben Baucus,Jon Tester,1
1276,Max Sieben Baucus,Kent Conrad,1
1285,Max Sieben Baucus,Tim Johnson,1
1286,Max Sieben Baucus,E. Benjamin Nelson,1
1315,Dianne Feinstein,Jeanne Shaheen,1
1327,Dianne Feinstein,Frank R. Lautenberg,1
1334,Dianne Feinstein,Richard J. Durbin,1
1341,Dianne Feinstein,Benjamin L. Cardin,1
1366,Dianne Feinstein,Barbara Boxer,1
1378,Dianne Feinstein,Sheldon Whitehouse,1
1395,Dianne Feinstein,Barbara Ann Mikulski,1
1416,Frank R. Lautenberg,Jeanne Shaheen,1
1417,Frank R. Lautenberg,Ron Wyden,1
1418,Frank R. Lautenberg,Charles E. Schumer,1
1420,Frank R. Lautenberg,Thomas Richard Harkin,1
1425,Frank R. Lautenberg,Patrick Joseph Leahy,1
1427,Frank R. Lautenberg,Dianne Feinstein,1
1430,Frank R. Lautenberg,Bernard Sanders,1
1431,Frank R. Lautenberg,John Forbes Kerry,1
1435,Frank R. Lautenberg,Richard J. Durbin,1
1442,Frank R. Lautenberg,Benjamin L. Cardin,1
1449,Frank R. Lautenberg,Robert Menendez,1
1452,Frank R. Lautenberg,Deborah Ann Stabenow,1
1453,Frank R. Lautenberg,Kirsten E. Gillibrand,1
1456,Frank R. Lautenberg,Richard Blumenthal,1
1458,Frank R. Lautenberg,John F. Reed,1
1460,Frank R. Lautenberg,Sherrod Brown,1
1462,Frank R. Lautenberg,Patty Murray,1
1467,Frank R. Lautenberg,Barbara Boxer,1
1472,Frank R. Lautenberg,Christopher A. Coons,1
1479,Frank R. Lautenberg,Sheldon Whitehouse,1
1482,Frank R. Lautenberg,Daniel Kohikina Akaka,1
1485,Frank R. Lautenberg,Michael F. Bennet,1
1494,Frank R. Lautenberg,Al Franken,1
1496,Frank R. Lautenberg,Barbara Ann Mikulski,1
1502,Frank R. Lautenberg,Jeff Merkley,1
1503,Frank R. Lautenberg,Clarence William Nelson,1
1540,Jesse Francis Bingaman,Mark Udall,1
1574,Jesse Francis Bingaman,Tom Udall,1
1586,Jesse Francis Bingaman,Michael F. Bennet,1
1618,Bernard Sanders,Jeanne Shaheen,1
1622,Bernard Sanders,Thomas Richard Harkin,1
1627,Bernard Sanders,Patrick Joseph Leahy,1
1630,Bernard Sanders,Frank R. Lautenberg,1
1637,Bernard Sanders,Richard J. Durbin,1
1644,Bernard Sanders,Benjamin L. Cardin,1
1651,Bernard Sanders,Robert Menendez,1
1654,Bernard Sanders,Deborah Ann Stabenow,1
1655,Bernard Sanders,Kirsten E. Gillibrand,1
1658,Bernard Sanders,Richard Blumenthal,1
1660,Bernard Sanders,John F. Reed,1
1662,Bernard Sanders,Sherrod Brown,1
1664,Bernard Sanders,Patty Murray,1
1669,Bernard Sanders,Barbara Boxer,1
1675,Bernard Sanders,Tom Udall,1
1681,Bernard Sanders,Sheldon Whitehouse,1
1684,Bernard Sanders,Daniel Kohikina Akaka,1
1686,Bernard Sanders,Mark Begich,1
1689,Bernard Sanders,Tim Johnson,1
1696,Bernard Sanders,Al Franken,1
1698,Bernard Sanders,Barbara Ann Mikulski,1
1704,Bernard Sanders,Jeff Merkley,1
1719,John Forbes Kerry,Jeanne Shaheen,1
1728,John Forbes Kerry,Patrick Joseph Leahy,1
1731,John Forbes Kerry,Frank R. Lautenberg,1
1745,John Forbes Kerry,Benjamin L. Cardin,1
1761,John Forbes Kerry,John F. Reed,1
1770,John Forbes Kerry,Barbara Boxer,1
1782,John Forbes Kerry,Sheldon Whitehouse,1
1809,John Forbes Kerry,Scott P. Brown,1
1825,John Sidney Mccain,John Boozman,1
1826,John Sidney Mccain,Marco Rubio,1
1827,John Sidney Mccain,Jim Inhofe,1
1838,John Sidney Mccain,Tom Coburn,1
1840,John Sidney Mccain,Michael B. Enzi,1
1841,John Sidney Mccain,John Barrasso,1
1842,John Sidney Mccain,John Cornyn,1
1844,John Sidney Mccain,David Vitter,1
1847,John Sidney Mccain,Kay Bailey Hutchison,1
1848,John Sidney Mccain,Mike Johanns,1
1850,John Sidney Mccain,Lindsey O. Graham,1
1854,John Sidney Mccain,Jon Llewellyn Kyl,1
1855,John Sidney Mccain,Rand Paul,1
1859,John Sidney Mccain,John R. Thune,1
1861,John Sidney Mccain,Rob Portman,1
1863,John Sidney Mccain,Michael D. Crapo,1
1867,John Sidney Mccain,Jerry Moran,1
1868,John Sidney Mccain,Mitch Mcconnell,1
1869,John Sidney Mccain,Lamar Alexander,1
1870,John Sidney Mccain,Roger F. Wicker,1
1872,John Sidney Mccain,Orrin Grant Hatch,1
1873,John Sidney Mccain,Roy Blunt,1
1878,John Sidney Mccain,Richard Burr,1
1880,John Sidney Mccain,John Hoeven,1
1887,John Sidney Mccain,James W. Demint,1
1890,John Sidney Mccain,Charles Ernest Grassley,1
1893,John Sidney Mccain,Jeff Sessions,1
1894,John Sidney Mccain,Daniel Ray Coats,1
1895,John Sidney Mccain,Richard Craig Shelby,1
1896,John Sidney Mccain,Bob Corker,1
1899,John Sidney Mccain,Kelly Ayotte,1
1902,John Sidney Mccain,Mark Steven Kirk,1
1903,John Sidney Mccain,Johnny Isakson,1
1904,John Sidney Mccain,Pat Roberts,1
1905,John Sidney Mccain,Pat Toomey,1
1908,John Sidney Mccain,Saxby Chambliss,1
1911,John Sidney Mccain,Richard Green Lugar,1
1913,John Sidney Mccain,Mike Lee,1
1914,John Sidney Mccain,Ron Johnson,1
1915,John Sidney Mccain,Dean Heller,1
1917,John Sidney Mccain,Thad Cochran,1
1918,John Sidney Mccain,James E. Risch,1
1930,Herbert H. Kohl,Patrick Joseph Leahy,1
1940,Herbert H. Kohl,Richard J. Durbin,1
1961,Herbert H. Kohl,Richard Blumenthal,1
1984,Herbert H. Kohl,Sheldon Whitehouse,1
1986,Herbert H. Kohl,Amy Klobuchar,1
1992,Herbert H. Kohl,Tim Johnson,1
2001,Herbert H. Kohl,Barbara Ann Mikulski,1
2008,Herbert H. Kohl,Clarence William Nelson,1
2027,Tom Coburn,John Boozman,1
2028,Tom Coburn,Marco Rubio,1
2029,Tom Coburn,Jim Inhofe,1
2038,Tom Coburn,John Sidney Mccain,1
2042,Tom Coburn,Michael B. Enzi,1
2043,Tom Coburn,John Barrasso,1
2044,Tom Coburn,John Cornyn,1
2046,Tom Coburn,David Vitter,1
2049,Tom Coburn,Kay Bailey Hutchison,1
2050,Tom Coburn,Mike Johanns,1
2052,Tom Coburn,Lindsey O. Graham,1
2056,Tom Coburn,Jon Llewellyn Kyl,1
2057,Tom Coburn,Rand Paul,1
2061,Tom Coburn,John R. Thune,1
2063,Tom Coburn,Rob Portman,1
2065,Tom Coburn,Michael D. Crapo,1
2069,Tom Coburn,Jerry Moran,1
2070,Tom Coburn,Mitch Mcconnell,1
2071,Tom Coburn,Lamar Alexander,1
2072,Tom Coburn,Roger F. Wicker,1
2074,Tom Coburn,Orrin Grant Hatch,1
2075,Tom Coburn,Roy Blunt,1
2080,Tom Coburn,Richard Burr,1
2082,Tom Coburn,John Hoeven,1
2089,Tom Coburn,James W. Demint,1
2092,Tom Coburn,Charles Ernest Grassley,1
2095,Tom Coburn,Jeff Sessions,1
2096,Tom Coburn,Daniel Ray Coats,1
2097,Tom Coburn,Richard Craig Shelby,1
2098,Tom Coburn,Bob Corker,1
2101,Tom Coburn,Kelly Ayotte,1
2104,Tom Coburn,Mark Steven Kirk,1
2105,Tom Coburn,Johnny Isakson,1
2106,Tom Coburn,Pat Roberts,1
2107,Tom Coburn,Pat Toomey,1
2110,Tom Coburn,Saxby Chambliss,1
2113,Tom Coburn,Richard Green Lugar,1
2115,Tom Coburn,Mike Lee,1
2116,Tom Coburn,Ron Johnson,1
2117,Tom Coburn,Dean Heller,1
2119,Tom Coburn,Thad Cochran,1
2120,Tom Coburn,James E. Risch,1
2123,Richard J. Durbin,Jeanne Shaheen,1
2124,Richard J. Durbin,Ron Wyden,1
2125,Richard J. Durbin,Charles E. Schumer,1
2127,Richard J. Durbin,Thomas Richard Harkin,1
2132,Richard J. Durbin,Patrick Joseph Leahy,1
2134,Richard J. Durbin,Dianne Feinstein,1
2135,Richard J. Durbin,Frank R. Lautenberg,1
2137,Richard J. Durbin,Bernard Sanders,1
2140,Richard J. Durbin,Herbert H. Kohl,1
2146,Richard J. Durbin,Mark Udall,1
2149,Richard J. Durbin,Benjamin L. Cardin,1
2156,Richard J. Durbin,Robert Menendez,1
2160,Richard J. Durbin,Kirsten E. Gillibrand,1
2163,Richard J. Durbin,Richard Blumenthal,1
2165,Richard J. Durbin,John F. Reed,1
2167,Richard J. Durbin,Sherrod Brown,1
2169,Richard J. Durbin,Patty Murray,1
2174,Richard J. Durbin,Barbara Boxer,1
2179,Richard J. Durbin,Christopher A. Coons,1
2186,Richard J. Durbin,Sheldon Whitehouse,1
2189,Richard J. Durbin,Daniel Kohikina Akaka,1
2192,Richard J. Durbin,Michael F. Bennet,1
2201,Richard J. Durbin,Al Franken,1
2203,Richard J. Durbin,Barbara Ann Mikulski,1
2204,Richard J. Durbin,Carl Milton Levin,1
2209,Richard J. Durbin,Jeff Merkley,1
2210,Richard J. Durbin,Clarence William Nelson,1
2229,Michael B. Enzi,John Boozman,1
2230,Michael B. Enzi,Marco Rubio,1
2231,Michael B. Enzi,Jim Inhofe,1
2240,Michael B. Enzi,John Sidney Mccain,1
2242,Michael B. Enzi,Tom Coburn,1
2245,Michael B. Enzi,John Barrasso,1
2246,Michael B. Enzi,John Cornyn,1
2248,Michael B. Enzi,David Vitter,1
2251,Michael B. Enzi,Kay Bailey Hutchison,1
2252,Michael B. Enzi,Mike Johanns,1
2254,Michael B. Enzi,Lindsey O. Graham,1
2255,Michael B. Enzi,Lisa Murkowski,1
2258,Michael B. Enzi,Jon Llewellyn Kyl,1
2259,Michael B. Enzi,Rand Paul,1
2263,Michael B. Enzi,John R. Thune,1
2265,Michael B. Enzi,Rob Portman,1
2267,Michael B. Enzi,Michael D. Crapo,1
2271,Michael B. Enzi,Jerry Moran,1
2272,Michael B. Enzi,Mitch Mcconnell,1
2273,Michael B. Enzi,Lamar Alexander,1
2274,Michael B. Enzi,Roger F. Wicker,1
2276,Michael B. Enzi,Orrin Grant Hatch,1
2277,Michael B. Enzi,Roy Blunt,1
2282,Michael B. Enzi,Richard Burr,1
2284,Michael B. Enzi,John Hoeven,1
2291,Michael B. Enzi,James W. Demint,1
2294,Michael B. Enzi,Charles Ernest Grassley,1
2297,Michael B. Enzi,Jeff Sessions,1
2298,Michael B. Enzi,Daniel Ray Coats,1
2299,Michael B. Enzi,Richard Craig Shelby,1
2300,Michael B. Enzi,Bob Corker,1
2303,Michael B. Enzi,Kelly Ayotte,1
2307,Michael B. Enzi,Johnny Isakson,1
2308,Michael B. Enzi,Pat Roberts,1
2309,Michael B. Enzi,Pat Toomey,1
2312,Michael B. Enzi,Saxby Chambliss,1
2315,Michael B. Enzi,Richard Green Lugar,1
2317,Michael B. Enzi,Mike Lee,1
2318,Michael B. Enzi,Ron Johnson,1
2319,Michael B. Enzi,Dean Heller,1
2321,Michael B. Enzi,Thad Cochran,1
2322,Michael B. Enzi,James E. Risch,1
2330,John Barrasso,John Boozman,1
2331,John Barrasso,Marco Rubio,1
2332,John Barrasso,Jim Inhofe,1
2341,John Barrasso,John Sidney Mccain,1
2343,John Barrasso,Tom Coburn,1
2345,John Barrasso,Michael B. Enzi,1
2347,John Barrasso,John Cornyn,1
2349,John Barrasso,David Vitter,1
2352,John Barrasso,Kay Bailey Hutchison,1
2353,John Barrasso,Mike Johanns,1
2355,John Barrasso,Lindsey O. Graham,1
2356,John Barrasso,Lisa Murkowski,1
2359,John Barrasso,Jon Llewellyn Kyl,1
2360,John Barrasso,Rand Paul,1
2364,John Barrasso,John R. Thune,1
2366,John Barrasso,Rob Portman,1
2368,John Barrasso,Michael D. Crapo,1
2372,John Barrasso,Jerry Moran,1
2373,John Barrasso,Mitch Mcconnell,1
2374,John Barrasso,Lamar Alexander,1
2375,John Barrasso,Roger F. Wicker,1
2377,John Barrasso,Orrin Grant Hatch,1
2378,John Barrasso,Roy Blunt,1
2383,John Barrasso,Richard Burr,1
2385,John Barrasso,John Hoeven,1
2392,John Barrasso,James W. Demint,1
2395,John Barrasso,Charles Ernest Grassley,1
2398,John Barrasso,Jeff Sessions,1
2399,John Barrasso,Daniel Ray Coats,1
2400,John Barrasso,Richard Craig Shelby,1
2401,John Barrasso,Bob Corker,1
2404,John Barrasso,Kelly Ayotte,1
2407,John Barrasso,Mark Steven Kirk,1
2408,John Barrasso,Johnny Isakson,1
2409,John Barrasso,Pat Roberts,1
2410,John Barrasso,Pat Toomey,1
2413,John Barrasso,Saxby Chambliss,1
2416,John Barrasso,Richard Green Lugar,1
2418,John Barrasso,Mike Lee,1
2419,John Barrasso,Ron Johnson,1
2420,John Barrasso,Dean Heller,1
2422,John Barrasso,Thad Cochran,1
2423,John Barrasso,James E. Risch,1
2431,John Cornyn,John Boozman,1
2432,John Cornyn,Marco Rubio,1
2433,John Cornyn,Jim Inhofe,1
2442,John Cornyn,John Sidney Mccain,1
2444,John Cornyn,Tom Coburn,1
